Epoch,Training Loss,Validation Loss,Training F1,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,Training Time (s),Validation Time (s)
1,1.1066,1.179917693,0.300267942,0.296774194,0.294961821,0.296774194,0.271367772,43.51110077,4.536342144
2,0.8207,1.159895539,0.345484371,0.361290323,0.385664263,0.361290323,0.347982985,43.68458176,4.50612092
3,1.0441,1.196792245,0.320931066,0.319354839,0.325451958,0.319354839,0.311700141,43.92866611,4.516996145
4,0.4424,1.097332478,0.416665126,0.390322581,0.36348638,0.390322581,0.345755812,43.88494062,4.51509738
5,0.5885,1.025698066,0.540106814,0.525806452,0.536945755,0.525806452,0.478229686,43.85926628,4.508741617
6,0.3513,1.049727798,0.436373532,0.461290323,0.433182407,0.461290323,0.438884278,43.89498115,4.499252796
7,0.5095,0.966103911,0.745320944,0.606451613,0.660538157,0.606451613,0.610713112,43.83752418,4.508964539
8,,0.990164101,0.564978156,0.483870968,0.479310252,0.483870968,0.462900936,43.81102848,4.507901907
9,,1.021185756,0.385507673,0.370967742,0.326489536,0.370967742,0.322358116,43.82630348,4.510879993
10,,0.957859576,0.631372035,0.496774194,0.526285246,0.496774194,0.471754108,43.83715844,4.512318134
11,,1.002747774,0.538682108,0.396774194,0.393884708,0.396774194,0.365492604,43.95264196,4.513093233
12,,0.962875247,0.484190722,0.403225806,0.400478699,0.403225806,0.394909982,43.83428884,4.510578394
13,,0.985478282,0.380257699,0.374193548,0.312148069,0.374193548,0.330240264,43.84807038,4.501045704
14,,0.990291655,0.378912827,0.316129032,0.289132328,0.316129032,0.300491984,43.83921051,4.504580021
15,,0.973769069,0.382399997,0.322580645,0.311252905,0.322580645,0.316258191,43.90341687,4.50544095
16,,0.950354815,0.412858197,0.338709677,0.310870022,0.338709677,0.319169272,43.81081557,4.50143528
17,,0.982674479,0.391358855,0.322580645,0.293784662,0.322580645,0.305146351,43.85494971,4.50442338
18,,0.989454091,0.344588963,0.267741935,0.262864501,0.267741935,0.265186371,43.83910012,4.494035721
19,,1.001952529,0.353671433,0.3,0.235219895,0.3,0.262122518,43.82593322,4.491713762
20,,1.018246174,0.344588963,0.270967742,0.260365591,0.270967742,0.265459249,43.812464,4.492926121
21,,1.01325202,0.36475801,0.290322581,0.263960212,0.290322581,0.275775953,43.85472918,4.491371393
22,,1.059201479,0.344128283,0.267741935,0.237690922,0.267741935,0.251812994,43.81425357,4.492659569
23,,1.051853538,0.353949243,0.258064516,0.261202957,0.258064516,0.25960998,43.79459786,4.488083124
24,,1.047768235,0.353949243,0.258064516,0.248651011,0.258064516,0.253223479,43.84586716,4.495009899
25,,1.043484688,0.354396245,0.261290323,0.251749063,0.261290323,0.256384118,43.81792545,4.48927021
26,,1.053779006,0.354396245,0.264516129,0.234724136,0.264516129,0.248572007,43.77733064,4.487629414
27,,1.053260088,0.364324997,0.283870968,0.244807384,0.283870968,0.261405664,43.82687473,4.495852709
28,,1.057165742,0.343210607,0.267741935,0.256611304,0.267741935,0.261926691,43.79729128,4.496331453
29,,1.056899786,0.344588963,0.267741935,0.246048613,0.267741935,0.256400614,43.788872,4.48803997
30,,1.061978698,0.344588963,0.270967742,0.24859447,0.270967742,0.259247419,43.81488395,4.49161315
31,,1.064730287,0.344588963,0.261290323,0.246837445,0.261290323,0.253800741,43.8917408,4.500028372
32,,1.061500669,0.36475801,0.274193548,0.267004152,0.274193548,0.270395629,43.84779072,4.497482777
33,,1.073182225,0.354315748,0.274193548,0.262162982,0.274193548,0.267800116,43.81732774,4.498752117
34,,1.063823342,0.355272936,0.277419355,0.245940309,0.277419355,0.259883723,43.84933305,4.498152733
35,,1.0496279,0.355272936,0.274193548,0.260058732,0.274193548,0.266654019,43.78446674,4.494379997
36,,1.051066399,0.355272936,0.283870968,0.243620148,0.283870968,0.260814434,43.79678249,4.49201417
37,,1.05764401,0.355272936,0.274193548,0.255993972,0.274193548,0.264400588,43.75694323,4.486537218
38,,1.067604065,0.344588963,0.267741935,0.227729891,0.267741935,0.246119966,43.76024055,4.489476204
39,,1.059106469,0.344588963,0.258064516,0.233946337,0.258064516,0.245414295,43.87318206,4.492388964
40,,1.056783915,0.364324997,0.290322581,0.233383627,0.290322581,0.255048757,43.80868888,4.489311218
41,,1.06846416,0.344588963,0.258064516,0.219581211,0.258064516,0.237272588,43.79300857,4.489612341
42,,1.069231153,0.344588963,0.25483871,0.242346616,0.25483871,0.248435727,43.82731557,4.497401237
43,,1.067368984,0.344588963,0.25483871,0.237686104,0.25483871,0.24596373,43.90831232,4.503370762
44,,1.069534898,0.344588963,0.25483871,0.235422427,0.25483871,0.244746088,43.88391733,4.494587421
45,,1.071494818,0.344588963,0.25483871,0.235422427,0.25483871,0.244746088,43.84729028,4.492893219
46,,1.072166681,0.344588963,0.25483871,0.235422427,0.25483871,0.244746088,43.89984441,4.491485834
47,,1.073811412,0.344588963,0.25483871,0.235422427,0.25483871,0.244746088,43.81282711,4.491478443
48,,1.073948622,0.344588963,0.25483871,0.235422427,0.25483871,0.244746088,43.80604982,4.496676445
49,,1.07398355,0.344588963,0.25483871,0.233201461,0.25483871,0.243540442,43.93302131,4.493276358
50,,1.073997617,0.344588963,0.25483871,0.233201461,0.25483871,0.243540442,43.78751779,4.537526131
